矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
514,0.29153,0.01013,0.05700,0.00280,5.115,2068.05,43.08,1.01,0.07
515,0.31413,0.03152,0.06580,0.00776,4.774,2076.09,43.25,1.01,0.07
516,0.35973,0.14935,0.06407,0.01561,5.615,2084.16,43.42,1.02,0.07
517,0.32603,0.06542,0.06463,0.00534,5.044,2092.23,43.59,1.02,0.07
518,0.29557,0.01160,0.05860,0.00289,5.044,2100.33,43.76,1.03,0.07
519,0.29807,0.00982,0.08370,0.03217,3.561,2108.44,43.93,1.03,0.07
520,0.30400,0.02983,0.06207,0.00683,4.898,2116.56,44.10,1.03,0.07
521,0.30047,0.01097,0.06323,0.00441,4.752,2124.70,44.26,1.04,0.07
522,0.29797,0.00925,0.06083,0.00534,4.898,2132.86,44.43,1.04,0.07
523,0.30990,0.02306,0.07767,0.02375,3.990,2141.03,44.60,1.05,0.07
524,0.32247,0.04992,0.06857,0.02112,4.703,2149.22,44.78,1.05,0.07
525,0.32013,0.03279,0.07033,0.01880,4.552,2157.42,44.95,1.05,0.07
526,0.31067,0.01325,0.06230,0.00815,4.987,2165.64,45.12,1.06,0.07
527,0.32690,0.05169,0.06563,0.00433,4.981,2173.88,45.29,1.06,0.07
528,0.35303,0.03528,0.06367,0.00595,5.545,2182.12,45.46,1.07,0.07
529,0.31487,0.01916,0.06530,0.00429,4.822,2190.39,45.63,1.07,0.07
530,0.31760,0.02581,0.06403,0.00637,4.960,2198.67,45.81,1.07,0.07
531,0.32110,0.02513,0.06717,0.00710,4.781,2206.97,45.98,1.08,0.07
532,0.32637,0.02036,0.06673,0.00488,4.891,2215.28,46.15,1.08,0.07
533,0.32913,0.03093,0.06863,0.00737,4.796,2223.61,46.33,1.09,0.07
534,0.32887,0.03751,0.06547,0.00697,5.023,2231.95,46.50,1.09,0.07
535,0.32953,0.03876,0.07677,0.01885,4.293,2240.31,46.67,1.09,0.07
536,0.33250,0.04600,0.07580,0.03105,4.387,2248.69,46.85,1.10,0.07
537,0.36393,0.05839,0.08217,0.03237,4.429,2257.08,47.02,1.10,0.07
538,0.33390,0.03985,0.06463,0.00306,5.166,2265.48,47.20,1.11,0.07
539,0.33717,0.02364,0.07637,0.01734,4.415,2273.91,47.37,1.11,0.07
540,0.32990,0.02219,0.06853,0.00537,4.814,2282.34,47.55,1.11,0.07
541,0.33640,0.02358,0.07143,0.00643,4.709,2290.80,47.72,1.12,0.07
542,0.32910,0.02836,0.06800,0.00721,4.840,2299.27,47.90,1.12,0.07
543,0.33723,0.02422,0.08707,0.04515,3.873,2307.75,48.08,1.13,0.08
544,0.39320,0.03988,0.06940,0.00668,5.666,2316.25,48.26,1.13,0.08
545,0.33557,0.01370,0.07160,0.00374,4.687,2324.77,48.43,1.14,0.08
546,0.33963,0.02029,0.07010,0.00828,4.845,2333.30,48.61,1.14,0.08
547,0.34360,0.01839,0.07163,0.00392,4.797,2341.84,48.79,1.14,0.08
548,0.33827,0.01529,0.07130,0.00680,4.744,2350.41,48.97,1.15,0.08
549,0.35307,0.03320,0.07663,0.01736,4.607,2358.98,49.15,1.15,0.08
550,0.35503,0.03518,0.07180,0.01854,4.945,2367.58,49.32,1.16,0.08
551,0.34583,0.02251,0.07753,0.01858,4.460,2376.19,49.50,1.16,0.08
552,0.34357,0.01353,0.08567,0.02786,4.011,2384.81,49.68,1.16,0.08
553,0.34537,0.01109,0.08850,0.05179,3.902,2393.45,49.86,1.17,0.08
554,0.35180,0.02788,0.07163,0.00845,4.911,2402.11,50.04,1.17,0.08
555,0.35717,0.03388,0.07533,0.00599,4.741,2410.78,50.22,1.18,0.08
556,0.37537,0.08970,0.07160,0.01371,5.243,2419.47,50.41,1.18,0.08
557,0.35953,0.02741,0.07733,0.00784,4.649,2428.17,50.59,1.19,0.08
558,0.35823,0.02688,0.07433,0.01352,4.819,2436.89,50.77,1.19,0.08
559,0.35617,0.02064,0.07630,0.00440,4.668,2445.62,50.95,1.19,0.08
560,0.41790,0.02850,0.07580,0.00938,5.513,2454.38,51.13,1.20,0.08
561,0.36030,0.01831,0.07893,0.00791,4.565,2463.14,51.32,1.20,0.08
562,0.36037,0.02241,0.07613,0.01972,4.733,2471.92,51.50,1.21,0.08
563,0.37143,0.01344,0.07877,0.00560,4.716,2480.72,51.68,1.21,0.08
564,0.35220,0.01160,0.07630,0.00683,4.616,2489.53,51.87,1.22,0.08
565,0.37340,0.03152,0.07877,0.00733,4.741,2498.36,52.05,1.22,0.08
566,0.35603,0.00978,0.08220,0.01368,4.331,2507.20,52.23,1.22,0.08
567,0.37130,0.02403,0.09590,0.04076,3.872,2516.06,52.42,1.23,0.08
568,0.38520,0.03388,0.07953,0.00912,4.843,2524.94,52.60,1.23,0.08
569,0.36397,0.01023,0.09580,0.02071,3.799,2533.83,52.79,1.24,0.08
570,0.37380,0.01894,0.09470,0.04367,3.947,2542.73,52.97,1.24,0.08
571,0.36937,0.01217,0.08963,0.02598,4.121,2551.66,53.16,1.25,0.08
572,0.36600,0.01221,0.08563,0.02147,4.274,2560.59,53.35,1.25,0.08
573,0.38960,0.04542,0.09253,0.02297,4.210,2569.55,53.53,1.25,0.08
574,0.40727,0.07062,0.09277,0.03221,4.390,2578.52,53.72,1.26,0.08
575,0.38400,0.01825,0.08697,0.01020,4.415,2587.50,53.91,1.26,0.08
576,0.45487,0.02978,0.08113,0.00715,5.606,2596.50,54.09,1.27,0.08
577,0.40043,0.07872,0.09353,0.03834,4.281,2605.52,54.28,1.27,0.08
578,0.37680,0.01993,0.08020,0.00650,4.698,2614.55,54.47,1.28,0.09
579,0.38403,0.01865,0.09027,0.01025,4.254,2623.59,54.66,1.28,0.09
580,0.39313,0.03296,0.08837,0.02634,4.449,2632.66,54.85,1.29,0.09
581,0.39230,0.03348,0.08377,0.00437,4.683,2641.73,55.04,1.29,0.09
582,0.38840,0.03598,0.08693,0.02193,4.468,2650.83,55.23,1.29,0.09
583,0.39670,0.03436,0.08650,0.00802,4.586,2659.94,55.42,1.30,0.09
584,0.41460,0.03318,0.09547,0.02072,4.343,2669.06,55.61,1.30,0.09
585,0.40383,0.03537,0.08520,0.00666,4.740,2678.20,55.80,1.31,0.09
586,0.40630,0.04162,0.09637,0.02545,4.216,2687.36,55.99,1.31,0.09
587,0.41113,0.03467,0.08963,0.01551,4.587,2696.53,56.18,1.32,0.09
588,0.43883,0.08036,0.09047,0.01253,4.851,2705.72,56.37,1.32,0.09
589,0.39993,0.02554,0.09267,0.00566,4.316,2714.92,56.56,1.33,0.09
590,0.41230,0.03786,0.09033,0.00597,4.564,2724.14,56.75,1.33,0.09
591,0.40090,0.02853,0.09247,0.00679,4.336,2733.38,56.95,1.33,0.09
592,0.47463,0.02615,0.09433,0.01967,5.031,2742.62,57.14,1.34,0.09
593,0.39963,0.01593,0.10523,0.03322,3.798,2751.89,57.33,1.34,0.09
594,0.40017,0.01878,0.09767,0.01531,4.097,2761.17,57.52,1.35,0.09
595,0.43427,0.05744,0.10030,0.00683,4.330,2770.47,57.72,1.35,0.09
596,0.42917,0.04058,0.09787,0.00933,4.385,2779.78,57.91,1.36,0.09
597,0.43987,0.06088,0.09637,0.00659,4.565,2789.11,58.11,1.36,0.09
598,0.43447,0.06232,0.09503,0.00597,4.572,2798.45,58.30,1.37,0.09
599,0.42127,0.03104,0.09677,0.00784,4.353,2807.81,58.50,1.37,0.09
600,0.45117,0.05433,0.09857,0.01633,4.577,2817.19,58.69,1.38,0.09
601,0.42250,0.02723,0.11620,0.03702,3.636,2826.58,58.89,1.38,0.09
602,0.41647,0.02575,0.09517,0.00379,4.376,2835.98,59.08,1.38,0.09
603,0.42477,0.02748,0.10303,0.01540,4.123,2845.41,59.28,1.39,0.09
604,0.41610,0.02600,0.09617,0.00988,4.327,2854.84,59.48,1.39,0.09
605,0.43827,0.04285,0.09760,0.01006,4.490,2864.30,59.67,1.40,0.09
606,0.43267,0.03247,0.09460,0.00739,4.574,2873.77,59.87,1.40,0.09
607,0.42957,0.02562,0.09790,0.00756,4.388,2883.25,60.07,1.41,0.09
608,0.51717,0.05625,0.10580,0.01931,4.888,2892.75,60.27,1.41,0.09
609,0.45613,0.03472,0.09727,0.00726,4.690,2902.27,60.46,1.42,0.09
610,0.42853,0.02475,0.09953,0.01107,4.305,2911.80,60.66,1.42,0.09
611,0.43960,0.03588,0.09983,0.00750,4.403,2921.34,60.86,1.43,0.10
612,0.47250,0.06812,0.09557,0.00482,4.944,2930.91,61.06,1.43,0.10
