矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
552,0.25680,0.01954,0.11353,0.01249,2.262,2384.81,49.68,1.16,0.08
553,0.24740,0.02673,0.16687,0.05828,1.483,2393.45,49.86,1.17,0.08
554,0.23600,0.01237,0.11453,0.01652,2.061,2402.11,50.04,1.17,0.08
555,0.25277,0.02893,0.14017,0.03294,1.803,2410.78,50.22,1.18,0.08
556,0.24327,0.01366,0.11233,0.00409,2.166,2419.47,50.41,1.18,0.08
557,0.25887,0.06149,0.13743,0.02761,1.884,2428.17,50.59,1.19,0.08
558,0.26480,0.05206,0.11797,0.01640,2.245,2436.89,50.77,1.19,0.08
559,0.24897,0.01794,0.11987,0.03373,2.077,2445.62,50.95,1.19,0.08
560,0.34397,0.01903,0.12177,0.02389,2.825,2454.38,51.13,1.20,0.08
561,0.25850,0.03356,0.11320,0.00623,2.284,2463.14,51.32,1.20,0.08
562,0.25680,0.04538,0.13053,0.02482,1.967,2471.92,51.50,1.21,0.08
563,0.26943,0.04905,0.15597,0.01935,1.728,2480.72,51.68,1.21,0.08
564,0.25267,0.02756,0.11453,0.00652,2.206,2489.53,51.87,1.22,0.08
565,0.26823,0.04881,0.18830,0.05020,1.424,2498.36,52.05,1.22,0.08
566,0.24790,0.01642,0.11540,0.01074,2.148,2507.20,52.23,1.22,0.08
567,0.26690,0.04171,0.12003,0.00881,2.224,2516.06,52.42,1.23,0.08
568,0.28773,0.03736,0.11663,0.00953,2.467,2524.94,52.60,1.23,0.08
569,0.25500,0.01061,0.16787,0.03322,1.519,2533.83,52.79,1.24,0.08
570,0.25973,0.03569,0.11727,0.00499,2.215,2542.73,52.97,1.24,0.08
571,0.25617,0.01113,0.12153,0.00904,2.108,2551.66,53.16,1.25,0.08
572,0.27493,0.05271,0.12097,0.00989,2.273,2560.59,53.35,1.25,0.08
573,0.26110,0.01539,0.11870,0.00672,2.200,2569.55,53.53,1.25,0.08
574,0.25967,0.02116,0.15200,0.04529,1.708,2578.52,53.72,1.26,0.08
575,0.29580,0.05945,0.13087,0.02427,2.260,2587.50,53.91,1.26,0.08
576,0.42760,0.06604,0.12740,0.01593,3.356,2596.50,54.09,1.27,0.08
577,0.32197,0.08523,0.13687,0.03669,2.352,2605.52,54.28,1.27,0.08
578,0.27557,0.04601,0.16027,0.04748,1.719,2614.55,54.47,1.28,0.09
579,0.29053,0.05276,0.19540,0.04251,1.487,2623.59,54.66,1.28,0.09
580,0.28300,0.01762,0.13163,0.02342,2.150,2632.66,54.85,1.29,0.09
581,0.28783,0.04936,0.16987,0.02047,1.694,2641.73,55.04,1.29,0.09
582,0.27347,0.02625,0.14263,0.04546,1.917,2650.83,55.23,1.29,0.09
583,0.32873,0.05983,0.12620,0.00747,2.605,2659.94,55.42,1.30,0.09
584,0.29443,0.01613,0.15073,0.03506,1.953,2669.06,55.61,1.30,0.09
585,0.27317,0.01980,0.12887,0.00827,2.120,2678.20,55.80,1.31,0.09
586,0.26490,0.01241,0.12683,0.00728,2.089,2687.36,55.99,1.31,0.09
587,0.34530,0.34282,0.12777,0.00959,2.703,2696.53,56.18,1.32,0.09
588,0.36790,0.13825,0.14657,0.04617,2.510,2705.72,56.37,1.32,0.09
589,0.32093,0.06162,0.19230,0.03625,1.669,2714.92,56.56,1.33,0.09
590,0.28213,0.02723,0.14843,0.06111,1.901,2724.14,56.75,1.33,0.09
591,0.29783,0.05348,0.17880,0.04233,1.666,2733.38,56.95,1.33,0.09
592,0.40540,0.05609,0.13163,0.01823,3.080,2742.62,57.14,1.34,0.09
593,0.27927,0.01619,0.17893,0.04197,1.561,2751.89,57.33,1.34,0.09
594,0.32333,0.05513,0.19707,0.04010,1.641,2761.17,57.52,1.35,0.09
595,0.36957,0.04341,0.14360,0.01993,2.574,2770.47,57.72,1.35,0.09
596,0.29040,0.02298,0.16483,0.04063,1.762,2779.78,57.91,1.36,0.09
597,0.30757,0.03917,0.19533,0.02060,1.575,2789.11,58.11,1.36,0.09
598,0.28490,0.03069,0.15077,0.02364,1.890,2798.45,58.30,1.37,0.09
599,0.29663,0.05315,0.13613,0.00904,2.179,2807.81,58.50,1.37,0.09
600,0.40820,0.05306,0.15667,0.05404,2.606,2817.19,58.69,1.38,0.09
601,0.38327,0.07631,0.15003,0.01549,2.555,2826.58,58.89,1.38,0.09
602,0.28163,0.01175,0.13553,0.00969,2.078,2835.98,59.08,1.38,0.09
603,0.28707,0.01344,0.14500,0.01390,1.980,2845.41,59.28,1.39,0.09
604,0.31780,0.05345,0.13627,0.01106,2.332,2854.84,59.48,1.39,0.09
605,0.29207,0.01372,0.13853,0.00785,2.108,2864.30,59.67,1.40,0.09
606,0.28803,0.02359,0.13743,0.01147,2.096,2873.77,59.87,1.40,0.09
607,0.29180,0.01500,0.13970,0.00864,2.089,2883.25,60.07,1.41,0.09
608,0.46413,0.02436,0.13667,0.00726,3.396,2892.75,60.27,1.41,0.09
609,0.29350,0.01554,0.14057,0.00894,2.088,2902.27,60.46,1.42,0.09
610,0.28897,0.01411,0.16090,0.04297,1.796,2911.80,60.66,1.42,0.09
611,0.31253,0.04154,0.13607,0.01071,2.297,2921.34,60.86,1.43,0.10
612,0.30767,0.01230,0.15613,0.03325,1.971,2930.91,61.06,1.43,0.10
613,0.30907,0.04575,0.13957,0.01442,2.214,2940.48,61.26,1.44,0.10
614,0.30053,0.03974,0.16857,0.07612,1.783,2950.08,61.46,1.44,0.10
615,0.30927,0.03027,0.14453,0.02042,2.140,2959.69,61.66,1.45,0.10
616,0.35537,0.03742,0.17327,0.02518,2.051,2969.31,61.86,1.45,0.10
617,0.30557,0.02956,0.14277,0.00751,2.140,2978.95,62.06,1.45,0.10
618,0.29543,0.01331,0.17890,0.06039,1.651,2988.61,62.26,1.46,0.10
619,0.30277,0.01405,0.14733,0.02255,2.055,2998.28,62.46,1.46,0.10
620,0.32713,0.04209,0.17313,0.06483,1.889,3007.97,62.67,1.47,0.10
621,0.30957,0.02269,0.14153,0.00798,2.187,3017.67,62.87,1.47,0.10
622,0.30857,0.04015,0.16547,0.03116,1.865,3027.39,63.07,1.48,0.10
623,0.31297,0.02319,0.14653,0.00651,2.136,3037.12,63.27,1.48,0.10
624,0.46443,0.04019,0.14270,0.00893,3.255,3046.88,63.48,1.49,0.10
625,0.31100,0.01454,0.14863,0.00905,2.092,3056.64,63.68,1.49,0.10
626,0.31113,0.03754,0.14187,0.00876,2.193,3066.42,63.88,1.50,0.10
627,0.33400,0.05377,0.16427,0.04138,2.033,3076.22,64.09,1.50,0.10
628,0.33453,0.02962,0.15020,0.01891,2.227,3086.03,64.29,1.51,0.10
629,0.31317,0.01154,0.17123,0.03476,1.829,3095.86,64.50,1.51,0.10
630,0.31037,0.01498,0.14887,0.02284,2.085,3105.70,64.70,1.52,0.10
631,0.33090,0.03333,0.15560,0.01432,2.127,3115.56,64.91,1.52,0.10
632,0.36657,0.02180,0.14667,0.00810,2.499,3125.44,65.11,1.53,0.10
633,0.31757,0.01529,0.18100,0.02880,1.755,3135.33,65.32,1.53,0.10
634,0.39270,0.07878,0.15973,0.01849,2.458,3145.23,65.53,1.54,0.10
635,0.33167,0.06642,0.25847,0.13660,1.283,3155.16,65.73,1.54,0.10
636,1.51130,5.02859,0.22113,0.03509,6.834,3165.09,65.94,1.55,0.10
637,0.34283,0.03201,0.21890,0.06971,1.566,3175.05,66.15,1.55,0.10
638,0.37420,0.07115,0.16147,0.01879,2.318,3185.02,66.35,1.56,0.10
639,0.34557,0.04234,0.15687,0.00875,2.203,3195.00,66.56,1.56,0.10
640,0.52603,0.08434,0.17113,0.04446,3.074,3205.00,66.77,1.56,0.10
641,0.42427,0.08379,0.22833,0.04196,1.858,3215.02,66.98,1.57,0.10
642,0.34080,0.05441,0.16497,0.02910,2.066,3225.05,67.19,1.57,0.10
643,0.34283,0.03990,0.15333,0.00740,2.236,3235.09,67.40,1.58,0.11
644,0.39117,0.04472,0.19707,0.03916,1.985,3245.16,67.61,1.58,0.11
645,0.38163,0.10557,0.20073,0.19176,1.901,3255.23,67.82,1.59,0.11
646,0.35937,0.04126,0.18003,0.02861,1.996,3265.33,68.03,1.59,0.11
647,0.33317,0.01433,0.15960,0.00909,2.088,3275.44,68.24,1.60,0.11
648,0.39147,0.02565,0.15727,0.01105,2.489,3285.56,68.45,1.60,0.11
649,0.34087,0.02154,0.16427,0.00980,2.075,3295.70,68.66,1.61,0.11
650,0.35010,0.05031,0.17450,0.04032,2.006,3305.86,68.87,1.61,0.11
651,0.39180,0.08259,0.16087,0.01577,2.436,3316.03,69.08,1.62,0.11
652,0.37647,0.02828,0.17777,0.03916,2.118,3326.22,69.30,1.62,0.11
653,0.35033,0.02311,0.16830,0.02836,2.082,3336.42,69.51,1.63,0.11
654,0.35340,0.03960,0.16983,0.03010,2.081,3346.64,69.72,1.63,0.11
655,0.42750,0.09801,0.16143,0.01028,2.648,3356.88,69.93,1.64,0.11
656,0.63067,0.10749,0.24137,0.04938,2.613,3367.12,70.15,1.64,0.11
657,0.41103,0.06235,0.16437,0.02672,2.501,3377.39,70.36,1.65,0.11
658,0.35100,0.03662,0.16917,0.02326,2.075,3387.67,70.58,1.65,0.11
659,0.37787,0.05551,0.16223,0.00909,2.329,3397.97,70.79,1.66,0.11
660,0.39687,0.03743,0.17020,0.01534,2.332,3408.28,71.01,1.66,0.11
661,0.50673,0.09326,0.26290,0.02738,1.927,3418.61,71.22,1.67,0.11
662,0.37417,0.04788,0.16287,0.01087,2.297,3428.95,71.44,1.67,0.11
663,0.36090,0.02878,0.16967,0.01315,2.127,3439.31,71.65,1.68,0.11
664,0.56867,0.10966,0.22037,0.03813,2.581,3449.69,71.87,1.68,0.11
